epoch,sc_train_f1
0,0.7955244499514217
1,0.8003482211051255
2,0.8054715789286343
3,0.8146919272319145
4,0.8345615396991511
5,0.8506505828523335
6,0.8754311624868644
7,0.9004613213386072
8,0.9149076893007532
9,0.9291934564912091
